ticket_id,failed_transaction_count,estimated_financial_loss,affected_region
TKT-10092,0,0.0,None
TKT-10093,6018,50441.76,Bulawayo
TKT-10094,4666,41483.63,Digital-All
TKT-10095,7411,70601.12,Bulawayo
TKT-10096,1673,15384.71,Mutare
TKT-10097,0,0.0,None
TKT-10098,0,0.0,None
TKT-10099,0,0.0,None
TKT-10100,1748,15482.92,Mutare
TKT-10101,0,0.0,None
TKT-10102,0,0.0,None
TKT-10103,3006,88816.32,Mutare
TKT-10104,0,0.0,None
TKT-10105,0,0.0,None
TKT-10106,4616,28841.04,Harare
TKT-10107,0,0.0,None
TKT-10108,2038,20228.5,Bulawayo
TKT-10109,0,0.0,None
TKT-10110,0,0.0,None
TKT-10111,4546,25575.12,Mutare
TKT-10112,0,0.0,None
TKT-10113,2639,18995.59,Digital-All
TKT-10114,0,0.0,None
TKT-10115,0,0.0,None
TKT-10116,0,0.0,None
TKT-10117,0,0.0,None
TKT-10118,0,0.0,None
TKT-10119,0,0.0,None
TKT-10120,0,0.0,None
TKT-10121,0,0.0,None
TKT-10122,0,0.0,None
TKT-10123,0,0.0,None
TKT-10124,0,0.0,None
TKT-10125,4492,43415.72,Mutare
TKT-10126,2637,18550.07,Digital-All
TKT-10127,645,6440.88,Digital-All
TKT-10128,0,0.0,None
TKT-10129,0,0.0,None
TKT-10130,0,0.0,None
TKT-10131,0,0.0,None
TKT-10132,7764,68220.35,Bulawayo
TKT-10133,5425,235726.4,Digital-All
TKT-10134,3620,28567.43,Harare
TKT-10135,0,0.0,None
TKT-10136,7635,63885.86,Digital-All
TKT-10137,0,0.0,None
TKT-10138,0,0.0,None
TKT-10139,0,0.0,None
TKT-10140,0,0.0,None
TKT-10141,1345,12926.97,Mutare
TKT-10142,301,1823.77,Bulawayo
TKT-10143,5942,44945.78,Digital-All
TKT-10144,6891,44625.85,Bulawayo
TKT-10145,0,0.0,None
TKT-10146,0,0.0,None
TKT-10147,0,0.0,None
TKT-10148,0,0.0,None
TKT-10149,0,0.0,None
TKT-10150,0,0.0,None
TKT-10151,0,0.0,None
TKT-10152,0,0.0,None
TKT-10153,0,0.0,None
TKT-10154,0,0.0,None
TKT-10155,9830,78543.85,Mutare
TKT-10156,0,0.0,None
TKT-10157,0,0.0,None
TKT-10158,8094,79635.37,Bulawayo
TKT-10159,1183,10759.18,Digital-All
TKT-10160,0,0.0,None
TKT-10161,7102,39272.09,Harare
TKT-10162,0,0.0,None
TKT-10163,1935,9893.51,Mutare
TKT-10164,0,0.0,None
TKT-10165,0,0.0,None
TKT-10166,0,0.0,None
TKT-10167,0,0.0,None
TKT-10168,0,0.0,None
TKT-10169,0,0.0,None
TKT-10170,0,0.0,None
TKT-10171,0,0.0,None
TKT-10172,0,0.0,None
TKT-10173,0,0.0,None
TKT-10174,6096,44339.12,Digital-All
TKT-10175,5583,43193.17,Bulawayo
TKT-10176,7059,99562.39,Bulawayo
TKT-10177,7082,244306.59,Harare
TKT-10178,0,0.0,None
TKT-10179,0,0.0,None
TKT-10180,0,0.0,None
TKT-10181,0,0.0,None
TKT-10182,0,0.0,None
TKT-10183,0,0.0,None
TKT-10184,0,0.0,None
TKT-10185,0,0.0,None
TKT-10186,7084,45053.55,Harare
TKT-10187,0,0.0,None
TKT-10188,0,0.0,None
TKT-10189,0,0.0,None
TKT-10190,0,0.0,None
TKT-10191,0,0.0,None
TKT-10192,0,0.0,None
TKT-10193,0,0.0,None
TKT-10194,0,0.0,None
TKT-10195,0,0.0,None
TKT-10196,0,0.0,None
TKT-10197,0,0.0,None
TKT-10198,0,0.0,None
TKT-10199,0,0.0,None
TKT-10200,0,0.0,None
TKT-10201,0,0.0,None
TKT-10202,0,0.0,None
TKT-10203,9742,50083.94,Mutare
TKT-10204,0,0.0,None
TKT-10205,0,0.0,None
TKT-10206,0,0.0,None
TKT-10207,9347,48248.41,Mutare
TKT-10208,0,0.0,None
TKT-10209,0,0.0,None
TKT-10210,597,10907.72,Mutare
TKT-10211,0,0.0,None
TKT-10212,0,0.0,None
TKT-10213,0,0.0,None
TKT-10214,3106,22452.89,Mutare
TKT-10215,0,0.0,None
TKT-10216,0,0.0,None
TKT-10217,1147,6234.1,Digital-All
TKT-10218,0,0.0,None
TKT-10219,6534,294231.51,Mutare
TKT-10220,0,0.0,None
TKT-10221,0,0.0,None
TKT-10222,0,0.0,None
TKT-10223,0,0.0,None
TKT-10224,0,0.0,None
TKT-10225,2887,92532.36,Harare
TKT-10226,8430,84275.95,Mutare
TKT-10227,0,0.0,None
TKT-10228,0,0.0,None
TKT-10229,0,0.0,None
TKT-10230,0,0.0,None
TKT-10231,0,0.0,None
TKT-10232,4531,27398.56,Bulawayo
TKT-10233,0,0.0,None
TKT-10234,8296,65898.06,Bulawayo
TKT-10235,0,0.0,None
TKT-10236,0,0.0,None
TKT-10237,0,0.0,None
TKT-10238,0,0.0,None
TKT-10239,0,0.0,None
TKT-10240,0,0.0,None
TKT-10241,0,0.0,None
TKT-10242,1915,44112.0,Digital-All
TKT-10243,0,0.0,None
TKT-10244,0,0.0,None
TKT-10245,0,0.0,None
TKT-10246,0,0.0,None
TKT-10247,0,0.0,None
TKT-10248,0,0.0,None
TKT-10249,0,0.0,None
TKT-10250,0,0.0,None
TKT-10251,9636,71447.66,Bulawayo
TKT-10252,2235,12719.16,Mutare
TKT-10253,9598,75374.93,Digital-All
TKT-10254,1066,9010.87,Mutare
TKT-10255,0,0.0,None
TKT-10256,0,0.0,None
TKT-10257,0,0.0,None
TKT-10258,0,0.0,None
TKT-10259,0,0.0,None
TKT-10260,0,0.0,None
TKT-10261,3204,21151.41,Harare
TKT-10262,7180,59111.55,Harare
TKT-10263,0,0.0,None
TKT-10264,0,0.0,None
TKT-10265,0,0.0,None
TKT-10266,5683,34431.51,Bulawayo
TKT-10267,0,0.0,None
TKT-10268,5058,42827.56,Bulawayo
TKT-10269,0,0.0,None
TKT-10270,0,0.0,None
TKT-10271,0,0.0,None
TKT-10272,2658,15670.84,Bulawayo
TKT-10273,810,4211.61,Mutare
TKT-10274,0,0.0,None
TKT-10275,0,0.0,None
TKT-10276,0,0.0,None
TKT-10277,0,0.0,None
TKT-10278,7479,59702.37,Harare
TKT-10279,0,0.0,None
TKT-10280,0,0.0,None
TKT-10281,0,0.0,None
TKT-10282,0,0.0,None
TKT-10283,0,0.0,None
TKT-10284,902,5234.93,Harare
TKT-10285,0,0.0,None
TKT-10286,0,0.0,None
TKT-10287,0,0.0,None
TKT-10288,0,0.0,None
TKT-10289,0,0.0,None
TKT-10290,0,0.0,None
TKT-10291,0,0.0,None
TKT-10292,0,0.0,None
TKT-10293,0,0.0,None
TKT-10294,0,0.0,None
TKT-10295,0,0.0,None
TKT-10296,0,0.0,None
TKT-10297,0,0.0,None
TKT-10298,0,0.0,None
TKT-10299,0,0.0,None
TKT-10300,6529,112339.05,Digital-All
TKT-10301,0,0.0,None
TKT-10302,7310,59447.87,Bulawayo
TKT-10303,0,0.0,None
TKT-10304,0,0.0,None
TKT-10305,9831,60520.39,Harare
TKT-10306,0,0.0,None
TKT-10307,8110,48164.86,Harare
TKT-10308,0,0.0,None
TKT-10309,0,0.0,None
TKT-10310,0,0.0,None
TKT-10311,296,1727.69,Mutare
TKT-10312,1033,5473.74,Bulawayo
TKT-10313,0,0.0,None
TKT-10314,0,0.0,None
TKT-10315,0,0.0,None
TKT-10316,0,0.0,None
TKT-10317,0,0.0,None
TKT-10318,1641,9035.55,Bulawayo
TKT-10319,0,0.0,None
TKT-10320,0,0.0,None
TKT-10321,0,0.0,None
TKT-10322,4391,30014.3,Bulawayo
TKT-10323,0,0.0,None
TKT-10324,0,0.0,None
TKT-10325,0,0.0,None
TKT-10326,0,0.0,None
TKT-10327,0,0.0,None
TKT-10328,0,0.0,None
TKT-10329,0,0.0,None
TKT-10330,0,0.0,None
TKT-10331,0,0.0,None
TKT-10332,0,0.0,None
TKT-10333,0,0.0,None
TKT-10334,3776,26759.25,Bulawayo
TKT-10335,8632,82416.73,Digital-All
TKT-10336,0,0.0,None
TKT-10337,0,0.0,None
TKT-10338,0,0.0,None
TKT-10339,0,0.0,None
TKT-10340,0,0.0,None
TKT-10341,0,0.0,None
TKT-10342,0,0.0,None
TKT-10343,7483,59501.65,Bulawayo
TKT-10344,0,0.0,None
TKT-10345,0,0.0,None
TKT-10346,157,977.1,Mutare
TKT-10347,2970,17245.83,Mutare
TKT-10348,0,0.0,None
TKT-10349,0,0.0,None
TKT-10350,0,0.0,None
TKT-10351,3528,19433.55,Bulawayo
TKT-10352,7899,75678.86,Harare
TKT-10353,0,0.0,None
TKT-10354,1964,86232.79,Mutare
TKT-10355,3361,32153.91,Digital-All
TKT-10356,0,0.0,None
TKT-10357,0,0.0,None
TKT-10358,1925,9771.85,Harare
TKT-10359,0,0.0,None
TKT-10360,0,0.0,None
TKT-10361,0,0.0,None
TKT-10362,0,0.0,None
TKT-10363,0,0.0,None
TKT-10364,0,0.0,None
TKT-10365,0,0.0,None
TKT-10366,0,0.0,None
TKT-10367,63,536.56,Mutare
TKT-10368,5952,54757.29,Bulawayo
TKT-10369,0,0.0,None
TKT-10370,0,0.0,None
TKT-10371,8674,86027.83,Mutare
TKT-10372,0,0.0,None
TKT-10373,0,0.0,None
TKT-10374,0,0.0,None
TKT-10375,0,0.0,None
TKT-10376,0,0.0,None
TKT-10377,0,0.0,None
TKT-10378,0,0.0,None
TKT-10379,3243,92094.24,Bulawayo
TKT-10380,0,0.0,None
TKT-10381,0,0.0,None
TKT-10382,0,0.0,None
TKT-10383,0,0.0,None
TKT-10384,0,0.0,None
TKT-10385,0,0.0,None
TKT-10386,0,0.0,None
TKT-10387,0,0.0,None
TKT-10388,0,0.0,None
TKT-10389,0,0.0,None
TKT-10390,0,0.0,None
TKT-10391,0,0.0,None
TKT-10392,0,0.0,None
TKT-10393,8028,43380.21,Harare
TKT-10394,0,0.0,None
TKT-10395,0,0.0,None
TKT-10396,0,0.0,None
TKT-10397,0,0.0,None
TKT-10398,0,0.0,None
TKT-10399,9367,49628.79,Bulawayo
TKT-10400,0,0.0,None
TKT-10401,9745,94831.15,Harare
TKT-10402,0,0.0,None
TKT-10403,0,0.0,None
TKT-10404,0,0.0,None
TKT-10405,0,0.0,None
TKT-10406,0,0.0,None
TKT-10407,0,0.0,None
TKT-10408,2515,23578.04,Harare
TKT-10409,0,0.0,None
TKT-10410,0,0.0,None
TKT-10411,2923,26881.83,Bulawayo
TKT-10412,0,0.0,None
TKT-10413,0,0.0,None
TKT-10414,3660,26461.3,Harare
TKT-10415,0,0.0,None
TKT-10416,0,0.0,None
TKT-10417,2403,14511.52,Digital-All
TKT-10418,0,0.0,None
TKT-10419,7792,43797.93,Mutare
TKT-10420,0,0.0,None
TKT-10421,0,0.0,None
TKT-10422,4982,31672.04,Mutare
TKT-10423,0,0.0,None
TKT-10424,0,0.0,None
TKT-10425,0,0.0,None
TKT-10426,1135,7386.84,Harare
TKT-10427,0,0.0,None
TKT-10428,0,0.0,None
TKT-10429,1898,16715.78,Mutare
TKT-10430,0,0.0,None
TKT-10431,0,0.0,None
TKT-10432,0,0.0,None
TKT-10433,7988,60365.9,Bulawayo
TKT-10434,0,0.0,None
TKT-10435,0,0.0,None
TKT-10436,0,0.0,None
TKT-10437,7847,61295.09,Bulawayo
TKT-10438,0,0.0,None
TKT-10439,0,0.0,None
TKT-10440,0,0.0,None
TKT-10441,0,0.0,None
TKT-10442,0,0.0,None
TKT-10443,0,0.0,None
TKT-10444,3106,24488.38,Bulawayo
TKT-10445,4969,45817.21,Digital-All
TKT-10446,0,0.0,None
TKT-10447,0,0.0,None
TKT-10448,0,0.0,None
TKT-10449,0,0.0,None
TKT-10450,0,0.0,None
TKT-10451,0,0.0,None
TKT-10452,0,0.0,None
TKT-10453,6706,59995.81,Mutare
TKT-10454,9023,78400.19,Digital-All
TKT-10455,0,0.0,None
TKT-10456,3030,21111.44,Digital-All
TKT-10457,0,0.0,None
TKT-10458,0,0.0,None
TKT-10459,0,0.0,None
TKT-10460,0,0.0,None
TKT-10461,0,0.0,None
TKT-10462,0,0.0,None
TKT-10463,2528,19663.73,Digital-All
TKT-10464,0,0.0,None
TKT-10465,0,0.0,None
TKT-10466,0,0.0,None
TKT-10467,0,0.0,None
TKT-10468,0,0.0,None
TKT-10469,0,0.0,None
TKT-10470,0,0.0,None
TKT-10471,0,0.0,None
TKT-10472,0,0.0,None
TKT-10473,0,0.0,None
TKT-10474,0,0.0,None
TKT-10475,0,0.0,None
TKT-10476,0,0.0,None
TKT-10477,0,0.0,None
TKT-10478,0,0.0,None
TKT-10479,0,0.0,None
TKT-10480,0,0.0,None
TKT-10481,0,0.0,None
TKT-10482,0,0.0,None
TKT-10483,0,0.0,None
TKT-10484,0,0.0,None
TKT-10485,0,0.0,None
TKT-10486,8338,62467.92,Harare
TKT-10487,0,0.0,None
TKT-10488,0,0.0,None
TKT-10489,8566,84489.08,Digital-All
TKT-10490,7294,265400.9,Digital-All
TKT-10491,0,0.0,None
TKT-10492,0,0.0,None
TKT-10493,0,0.0,None
TKT-10494,0,0.0,None
TKT-10495,0,0.0,None
TKT-10496,0,0.0,None
TKT-10497,0,0.0,None
TKT-10498,0,0.0,None
TKT-10499,0,0.0,None
TKT-10500,0,0.0,None
TKT-10501,0,0.0,None
TKT-10502,0,0.0,None
TKT-10503,0,0.0,None
TKT-10504,0,0.0,None
TKT-10505,0,0.0,None
TKT-10506,0,0.0,None
TKT-10507,0,0.0,None
TKT-10508,0,0.0,None
TKT-10509,4628,43463.38,Bulawayo
TKT-10510,83,2688.82,Harare
TKT-10511,0,0.0,None
TKT-10512,0,0.0,None
TKT-10513,0,0.0,None
TKT-10514,0,0.0,None
TKT-10515,899,39037.9,Mutare
TKT-10516,0,0.0,None
TKT-10517,0,0.0,None
TKT-10518,0,0.0,None
TKT-10519,0,0.0,None
TKT-10520,0,0.0,None
TKT-10521,0,0.0,None
TKT-10522,8457,82867.66,Mutare
TKT-10523,0,0.0,None
TKT-10524,0,0.0,None
TKT-10525,0,0.0,None
TKT-10526,3235,26386.84,Mutare
TKT-10527,0,0.0,None
TKT-10528,0,0.0,None
TKT-10529,4869,43567.51,Mutare
TKT-10530,2982,58095.45,Mutare
TKT-10531,2625,25403.42,Mutare
TKT-10532,0,0.0,None
TKT-10533,0,0.0,None
TKT-10534,0,0.0,None
TKT-10535,0,0.0,None
TKT-10536,1456,9559.18,Bulawayo
TKT-10537,0,0.0,None
TKT-10538,0,0.0,None
TKT-10539,0,0.0,None
TKT-10540,0,0.0,None
TKT-10541,0,0.0,None
TKT-10542,0,0.0,None
TKT-10543,4923,34241.69,Bulawayo
TKT-10544,1143,9704.32,Bulawayo
TKT-10545,7617,52601.31,Digital-All
TKT-10546,0,0.0,None
TKT-10547,0,0.0,None
TKT-10548,0,0.0,None
TKT-10549,0,0.0,None
TKT-10550,0,0.0,None
TKT-10551,0,0.0,None
TKT-10552,0,0.0,None
TKT-10553,2082,13625.11,Digital-All
TKT-10554,0,0.0,None
TKT-10555,3694,29700.93,Digital-All
TKT-10556,0,0.0,None
TKT-10557,0,0.0,None
TKT-10558,0,0.0,None
TKT-10559,7646,49922.54,Mutare
TKT-10560,0,0.0,None
TKT-10561,0,0.0,None
TKT-10562,0,0.0,None
TKT-10563,6347,44354.96,Harare
TKT-10564,1506,8352.83,Mutare
TKT-10565,0,0.0,None
TKT-10566,0,0.0,None
TKT-10567,1701,9232.68,Mutare
TKT-10568,0,0.0,None
TKT-10569,0,0.0,None
TKT-10570,4628,45147.57,Bulawayo
TKT-10571,0,0.0,None
TKT-10572,0,0.0,None
TKT-10573,7949,66081.71,Bulawayo
TKT-10574,0,0.0,None
TKT-10575,0,0.0,None
TKT-10576,6075,34245.31,Mutare
TKT-10577,0,0.0,None
TKT-10578,2072,13192.97,Digital-All
TKT-10579,0,0.0,None
TKT-10580,0,0.0,None
TKT-10581,7546,62429.34,Bulawayo
TKT-10582,0,0.0,None
TKT-10583,9817,95939.35,Digital-All
TKT-10584,0,0.0,None
TKT-10585,0,0.0,None
TKT-10586,2083,18262.79,Bulawayo
TKT-10587,0,0.0,None
TKT-10588,0,0.0,None
TKT-10589,0,0.0,None
TKT-10590,0,0.0,None
TKT-10591,0,0.0,None
TKT-10592,0,0.0,None
TKT-10593,0,0.0,None
TKT-10594,0,0.0,None
TKT-10595,0,0.0,None
TKT-10596,5173,47727.28,Harare
TKT-10597,8206,62160.92,Harare
TKT-10598,0,0.0,None
TKT-10599,4142,37935.05,Harare
TKT-10600,0,0.0,None
TKT-10601,0,0.0,None
TKT-10602,0,0.0,None
TKT-10603,0,0.0,None
TKT-10604,0,0.0,None
TKT-10605,0,0.0,None
TKT-10606,0,0.0,None
TKT-10607,0,0.0,None
TKT-10608,0,0.0,None
TKT-10609,0,0.0,None
TKT-10610,0,0.0,None
TKT-10611,0,0.0,None
TKT-10612,3190,22620.49,Mutare
TKT-10613,0,0.0,None
TKT-10614,0,0.0,None
TKT-10615,0,0.0,None
TKT-10616,0,0.0,None
TKT-10617,0,0.0,None
TKT-10618,0,0.0,None
TKT-10619,0,0.0,None
TKT-10620,0,0.0,None
TKT-10621,0,0.0,None
TKT-10622,0,0.0,None
TKT-10623,4432,36065.09,Harare
TKT-10624,0,0.0,None
TKT-10625,1439,13638.74,Bulawayo
TKT-10626,0,0.0,None
TKT-10627,7053,69104.78,Mutare
TKT-10628,4078,28203.15,Digital-All
TKT-10629,0,0.0,None
TKT-10630,0,0.0,None
TKT-10631,7008,48063.82,Harare
TKT-10632,0,0.0,None
TKT-10633,0,0.0,None
TKT-10634,0,0.0,None
TKT-10635,0,0.0,None
TKT-10636,0,0.0,None
TKT-10637,0,0.0,None
TKT-10638,0,0.0,None
TKT-10639,0,0.0,None
TKT-10640,0,0.0,None
TKT-10641,0,0.0,None
TKT-10642,0,0.0,None
TKT-10643,0,0.0,None
TKT-10644,0,0.0,None
TKT-10645,0,0.0,None
TKT-10646,0,0.0,None
TKT-10647,0,0.0,None
TKT-10648,0,0.0,None
TKT-10649,0,0.0,None
TKT-10650,7940,58577.33,Bulawayo
TKT-10651,0,0.0,None
TKT-10652,0,0.0,None
TKT-10653,0,0.0,None
TKT-10654,0,0.0,None
TKT-10655,0,0.0,None
TKT-10656,2088,14100.41,Digital-All
TKT-10657,0,0.0,None
TKT-10658,0,0.0,None
TKT-10659,0,0.0,None
TKT-10660,5332,32092.31,Harare
TKT-10661,0,0.0,None
TKT-10662,0,0.0,None
TKT-10663,0,0.0,None
TKT-10664,0,0.0,None
TKT-10665,0,0.0,None
TKT-10666,0,0.0,None
TKT-10667,0,0.0,None
TKT-10668,0,0.0,None
TKT-10669,5336,38136.04,Bulawayo
TKT-10670,0,0.0,None
TKT-10671,0,0.0,None
TKT-10672,0,0.0,None
TKT-10673,0,0.0,None
TKT-10674,2039,18790.16,Harare
TKT-10675,4304,40529.03,Harare
TKT-10676,0,0.0,None
TKT-10677,0,0.0,None
TKT-10678,9725,85657.92,Mutare
TKT-10679,0,0.0,None
TKT-10680,0,0.0,None
TKT-10681,0,0.0,None
TKT-10682,3647,20335.45,Harare
TKT-10683,0,0.0,None
TKT-10684,0,0.0,None
TKT-10685,0,0.0,None
TKT-10686,7465,55638.95,Mutare
TKT-10687,0,0.0,None
TKT-10688,0,0.0,None
TKT-10689,5674,241359.03,Harare
TKT-10690,0,0.0,None
TKT-10691,0,0.0,None
TKT-10692,0,0.0,None
TKT-10693,0,0.0,None
TKT-10694,7208,39501.36,Digital-All
TKT-10695,5004,44701.53,Mutare
TKT-10696,1803,36072.18,Harare
TKT-10697,0,0.0,None
TKT-10698,0,0.0,None
TKT-10699,0,0.0,None
TKT-10700,0,0.0,None
TKT-10701,230,1817.62,Harare
TKT-10702,0,0.0,None
TKT-10703,6504,34738.19,Digital-All
TKT-10704,0,0.0,None
TKT-10705,0,0.0,None
TKT-10706,0,0.0,None
TKT-10707,0,0.0,None
TKT-10708,9394,85841.23,Mutare
TKT-10709,0,0.0,None
TKT-10710,0,0.0,None
TKT-10711,0,0.0,None
TKT-10712,9850,85660.0,Harare
TKT-10713,0,0.0,None
TKT-10714,0,0.0,None
TKT-10715,294,2753.69,Bulawayo
TKT-10716,0,0.0,None
TKT-10717,0,0.0,None
TKT-10718,0,0.0,None
TKT-10719,4604,36561.29,Mutare
TKT-10720,0,0.0,None
TKT-10721,0,0.0,None
TKT-10722,0,0.0,None
TKT-10723,0,0.0,None
TKT-10724,0,0.0,None
TKT-10725,0,0.0,None
TKT-10726,1046,10207.41,Mutare
TKT-10727,6865,36775.57,Digital-All
TKT-10728,0,0.0,None
TKT-10729,6293,55460.58,Harare
TKT-10730,0,0.0,None
TKT-10731,1302,12464.28,Digital-All
TKT-10732,6948,52284.6,Bulawayo
TKT-10733,7118,36441.72,Bulawayo
TKT-10734,0,0.0,None
TKT-10735,1422,8192.54,Harare
TKT-10736,0,0.0,None
TKT-10737,0,0.0,None
TKT-10738,0,0.0,None
TKT-10739,0,0.0,None
TKT-10740,0,0.0,None
TKT-10741,0,0.0,None
TKT-10742,3115,27000.21,Mutare
TKT-10743,0,0.0,None
TKT-10744,0,0.0,None
TKT-10745,2148,19049.34,Digital-All
TKT-10746,0,0.0,None
TKT-10747,8832,53265.83,Harare
TKT-10748,0,0.0,None
TKT-10749,8677,47832.86,Digital-All
TKT-10750,0,0.0,None
TKT-10751,5000,31851.24,Bulawayo
TKT-10752,0,0.0,None
TKT-10753,2405,21761.41,Harare
TKT-10754,0,0.0,None
TKT-10755,8478,65908.28,Harare
TKT-10756,0,0.0,None
TKT-10757,9287,76628.0,Bulawayo
TKT-10758,0,0.0,None
TKT-10759,0,0.0,None
TKT-10760,0,0.0,None
TKT-10761,0,0.0,None
TKT-10762,0,0.0,None
TKT-10763,0,0.0,None
TKT-10764,9233,66553.63,Mutare
TKT-10765,0,0.0,None
TKT-10766,0,0.0,None
TKT-10767,0,0.0,None
TKT-10768,0,0.0,None
TKT-10769,0,0.0,None
TKT-10770,0,0.0,None
TKT-10771,0,0.0,None
TKT-10772,4092,26757.23,Bulawayo
TKT-10773,0,0.0,None
TKT-10774,0,0.0,None
TKT-10775,0,0.0,None
TKT-10776,0,0.0,None
TKT-10777,0,0.0,None
TKT-10778,9511,66612.67,Harare
TKT-10779,2758,70953.54,Bulawayo
TKT-10780,0,0.0,None
TKT-10781,0,0.0,None
TKT-10782,0,0.0,None
TKT-10783,0,0.0,None
TKT-10784,0,0.0,None
TKT-10785,7012,44128.24,Harare
TKT-10786,9719,61124.57,Digital-All
TKT-10787,0,0.0,None
TKT-10788,0,0.0,None
TKT-10789,0,0.0,None
TKT-10790,0,0.0,None
TKT-10791,7208,45943.31,Bulawayo
TKT-10792,0,0.0,None
TKT-10793,0,0.0,None
TKT-10794,578,4799.42,Harare
TKT-10795,6855,68406.93,Harare
TKT-10796,0,0.0,None
TKT-10797,0,0.0,None
TKT-10798,2960,20720.8,Harare
TKT-10799,0,0.0,None
TKT-10800,0,0.0,None
TKT-10801,4013,36051.86,Digital-All
TKT-10802,6883,67369.94,Harare
TKT-10803,0,0.0,None
TKT-10804,0,0.0,None
TKT-10805,5660,36656.77,Digital-All
TKT-10806,0,0.0,None
TKT-10807,0,0.0,None
TKT-10808,0,0.0,None
TKT-10809,2009,16574.22,Mutare
TKT-10810,0,0.0,None
TKT-10811,0,0.0,None
TKT-10812,0,0.0,None
TKT-10813,0,0.0,None
TKT-10814,0,0.0,None
TKT-10815,0,0.0,None
TKT-10816,0,0.0,None
TKT-10817,0,0.0,None
TKT-10818,0,0.0,None
TKT-10819,0,0.0,None
TKT-10820,3363,20322.76,Mutare
TKT-10821,0,0.0,None
TKT-10822,4706,26142.55,Bulawayo
TKT-10823,408,2326.55,Harare
TKT-10824,429,2445.88,Digital-All
TKT-10825,0,0.0,None
TKT-10826,0,0.0,None
TKT-10827,0,0.0,None
TKT-10828,0,0.0,None
TKT-10829,0,0.0,None
TKT-10830,6590,39495.11,Digital-All
TKT-10831,0,0.0,None
TKT-10832,0,0.0,None
TKT-10833,201,1133.59,Bulawayo
TKT-10834,2710,13956.23,Bulawayo
TKT-10835,0,0.0,None
TKT-10836,0,0.0,None
TKT-10837,9409,56279.33,Bulawayo
TKT-10838,9729,73936.36,Mutare
TKT-10839,0,0.0,None
TKT-10840,0,0.0,None
TKT-10841,0,0.0,None
TKT-10842,0,0.0,None
TKT-10843,0,0.0,None
TKT-10844,0,0.0,None
TKT-10845,7717,51006.33,Mutare
TKT-10846,0,0.0,None
TKT-10847,0,0.0,None
TKT-10848,0,0.0,None
TKT-10849,0,0.0,None
TKT-10850,4640,42741.94,Mutare
TKT-10851,0,0.0,None
