ticket_id,sla_limit_hours,resolution_hours,sla_breached,first_response_minutes,uptime_impact_minutes
TKT-10125,4,2.81,0.0,45.0,138.0
TKT-10126,8,28.43,1.0,87.0,39.0
TKT-10127,8,1.91,0.0,90.0,257.0
TKT-10128,4,2.39,0.0,112.0,107.0
TKT-10129,24,15.53,0.0,88.0,0.0
TKT-10130,24,56.46,1.0,26.0,0.0
TKT-10131,24,8.66,0.0,32.0,0.0
TKT-10132,8,1.82,0.0,115.0,149.0
TKT-10133,8,35.52,1.0,12.0,169.0
TKT-10134,8,28.52,1.0,70.0,172.0
TKT-10135,72,13.02,0.0,21.0,0.0
TKT-10136,4,2.14,0.0,66.0,221.0
TKT-10137,72,52.16,0.0,18.0,0.0
TKT-10138,24,5.68,0.0,30.0,0.0
TKT-10139,24,,,,0.0
TKT-10140,24,41.19,1.0,79.0,0.0
TKT-10141,8,7.23,0.0,70.0,291.0
TKT-10142,8,6.04,0.0,88.0,172.0
TKT-10143,4,1.01,0.0,42.0,92.0
TKT-10144,4,0.27,0.0,104.0,225.0
TKT-10145,24,15.37,0.0,61.0,0.0
TKT-10146,8,5.31,0.0,93.0,130.0
TKT-10147,72,98.93,1.0,6.0,0.0
TKT-10148,24,5.84,0.0,76.0,0.0
TKT-10149,72,90.83,1.0,69.0,0.0
TKT-10150,8,6.87,0.0,107.0,148.0
TKT-10151,72,54.11,0.0,87.0,0.0
TKT-10152,72,49.59,0.0,14.0,0.0
TKT-10153,24,18.75,0.0,57.0,0.0
TKT-10154,24,32.25,1.0,87.0,0.0
TKT-10155,4,25.26,1.0,69.0,159.0
TKT-10156,72,12.27,0.0,36.0,0.0
TKT-10157,24,4.75,0.0,17.0,0.0
TKT-10158,8,7.49,0.0,28.0,101.0
TKT-10159,8,4.39,0.0,115.0,144.0
TKT-10160,24,71.56,1.0,60.0,0.0
TKT-10161,8,2.87,0.0,79.0,23.0
TKT-10162,8,6.12,0.0,73.0,155.0
TKT-10163,4,2.08,0.0,45.0,38.0
TKT-10164,8,2.68,0.0,54.0,144.0
TKT-10165,24,5.0,0.0,92.0,0.0
TKT-10166,72,42.25,0.0,45.0,0.0
TKT-10167,24,2.88,0.0,48.0,0.0
TKT-10168,24,3.44,0.0,41.0,0.0
TKT-10169,8,6.65,0.0,61.0,34.0
TKT-10170,8,4.34,0.0,119.0,167.0
TKT-10171,24,19.54,0.0,55.0,0.0
TKT-10172,8,6.45,0.0,98.0,175.0
TKT-10173,24,23.72,0.0,105.0,0.0
TKT-10174,8,3.03,0.0,14.0,240.0
TKT-10175,8,6.31,0.0,51.0,291.0
TKT-10176,8,6.63,0.0,7.0,280.0
TKT-10177,8,40.23,1.0,80.0,25.0
TKT-10178,72,58.77,0.0,119.0,0.0
TKT-10179,72,54.18,0.0,20.0,0.0
TKT-10180,24,2.16,0.0,17.0,0.0
TKT-10181,24,14.54,0.0,27.0,0.0
TKT-10182,24,,,,0.0
TKT-10183,24,0.43,0.0,30.0,0.0
TKT-10184,24,12.27,0.0,28.0,0.0
TKT-10185,72,93.42,1.0,57.0,0.0
TKT-10186,8,6.21,0.0,88.0,58.0
TKT-10187,24,13.59,0.0,47.0,0.0
TKT-10188,24,9.21,0.0,22.0,0.0
TKT-10189,72,8.67,0.0,82.0,0.0
TKT-10190,72,,,,0.0
TKT-10191,72,55.81,0.0,89.0,0.0
TKT-10192,72,27.12,0.0,90.0,0.0
TKT-10193,72,64.53,0.0,65.0,0.0
TKT-10194,72,9.48,0.0,39.0,0.0
TKT-10195,72,11.9,0.0,59.0,0.0
TKT-10196,72,61.6,0.0,22.0,0.0
TKT-10197,72,57.82,0.0,21.0,0.0
TKT-10198,24,28.03,1.0,109.0,0.0
TKT-10199,72,28.46,0.0,8.0,0.0
TKT-10200,72,39.64,0.0,12.0,0.0
TKT-10201,24,18.7,0.0,45.0,0.0
TKT-10202,72,55.16,0.0,120.0,0.0
TKT-10203,4,3.29,0.0,102.0,61.0
TKT-10204,24,2.25,0.0,32.0,0.0
TKT-10205,72,106.12,1.0,21.0,0.0
TKT-10206,24,32.4,1.0,114.0,0.0
TKT-10207,4,2.89,0.0,39.0,62.0
TKT-10208,72,,,,0.0
TKT-10209,72,18.02,0.0,13.0,0.0
TKT-10210,4,0.49,0.0,60.0,261.0
TKT-10211,72,,,,0.0
TKT-10212,24,34.66,1.0,27.0,0.0
TKT-10213,72,30.8,0.0,39.0,0.0
TKT-10214,4,3.5,0.0,35.0,196.0
TKT-10215,72,89.16,1.0,67.0,0.0
TKT-10216,4,1.6,0.0,103.0,20.0
TKT-10217,4,24.9,1.0,119.0,136.0
TKT-10218,72,10.74,0.0,73.0,0.0
TKT-10219,8,3.79,0.0,25.0,127.0
TKT-10220,8,2.46,0.0,37.0,153.0
TKT-10221,24,,,,0.0
TKT-10222,24,12.16,0.0,21.0,0.0
TKT-10223,72,59.23,0.0,63.0,0.0
TKT-10224,72,18.67,0.0,101.0,0.0
TKT-10225,4,2.05,0.0,104.0,290.0
TKT-10226,8,3.68,0.0,30.0,98.0
TKT-10227,24,6.68,0.0,42.0,0.0
TKT-10228,72,51.89,0.0,80.0,0.0
TKT-10229,8,5.08,0.0,60.0,283.0
TKT-10230,72,16.06,0.0,31.0,0.0
TKT-10231,24,12.01,0.0,105.0,0.0
TKT-10232,4,0.79,0.0,14.0,106.0
TKT-10233,24,9.7,0.0,116.0,0.0
TKT-10234,8,,,,192.0
TKT-10235,72,64.82,0.0,46.0,0.0
TKT-10236,72,106.42,1.0,96.0,0.0
TKT-10237,24,,,,0.0
TKT-10238,72,47.67,0.0,36.0,0.0
TKT-10239,72,55.96,0.0,101.0,0.0
TKT-10240,4,36.57,1.0,109.0,252.0
TKT-10241,72,3.7,0.0,99.0,0.0
TKT-10242,8,7.08,0.0,115.0,88.0
TKT-10243,24,59.14,1.0,118.0,0.0
TKT-10244,24,11.72,0.0,107.0,0.0
TKT-10245,24,17.39,0.0,60.0,0.0
TKT-10246,72,23.12,0.0,43.0,0.0
TKT-10247,72,8.62,0.0,62.0,0.0
TKT-10248,72,26.19,0.0,11.0,0.0
TKT-10249,24,41.69,1.0,78.0,0.0
TKT-10250,24,4.56,0.0,112.0,0.0
TKT-10251,8,7.56,0.0,20.0,155.0
TKT-10252,8,4.85,0.0,85.0,82.0
TKT-10253,8,2.37,0.0,45.0,205.0
TKT-10254,8,15.83,1.0,82.0,68.0
TKT-10255,72,56.41,0.0,97.0,0.0
TKT-10256,72,,,,0.0
TKT-10257,72,70.71,0.0,14.0,0.0
TKT-10258,24,68.65,1.0,74.0,0.0
TKT-10259,72,56.55,0.0,23.0,0.0
TKT-10260,72,32.1,0.0,109.0,0.0
TKT-10261,8,6.51,0.0,48.0,243.0
TKT-10262,4,3.04,0.0,104.0,133.0
TKT-10263,72,110.33,1.0,69.0,0.0
TKT-10264,24,14.04,0.0,86.0,0.0
TKT-10265,24,0.83,0.0,23.0,0.0
TKT-10266,4,5.24,1.0,74.0,166.0
TKT-10267,24,22.29,0.0,119.0,0.0
TKT-10268,8,1.93,0.0,38.0,30.0
TKT-10269,8,1.83,0.0,90.0,136.0
TKT-10270,24,4.78,0.0,89.0,0.0
TKT-10271,72,39.12,0.0,120.0,0.0
TKT-10272,8,5.27,0.0,103.0,244.0
TKT-10273,4,0.99,0.0,82.0,160.0
TKT-10274,24,8.79,0.0,80.0,0.0
TKT-10275,72,10.08,0.0,24.0,0.0
TKT-10276,24,11.56,0.0,60.0,0.0
TKT-10277,72,13.03,0.0,115.0,0.0
TKT-10278,8,,,,191.0
TKT-10279,72,64.84,0.0,74.0,0.0
TKT-10280,24,16.7,0.0,54.0,0.0
TKT-10281,24,2.09,0.0,74.0,0.0
TKT-10282,24,7.62,0.0,47.0,0.0
TKT-10283,24,13.37,0.0,26.0,0.0
TKT-10284,8,7.5,0.0,17.0,157.0
TKT-10285,72,26.73,0.0,75.0,0.0
TKT-10286,72,,,,0.0
TKT-10287,24,23.32,0.0,15.0,0.0
TKT-10288,72,58.65,0.0,31.0,0.0
TKT-10289,24,22.87,0.0,106.0,0.0
TKT-10290,72,18.61,0.0,49.0,0.0
TKT-10291,72,53.86,0.0,44.0,0.0
TKT-10292,8,1.99,0.0,36.0,76.0
TKT-10293,24,11.82,0.0,118.0,0.0
TKT-10294,72,2.44,0.0,45.0,0.0
TKT-10295,24,14.68,0.0,35.0,0.0
TKT-10296,24,4.38,0.0,20.0,0.0
TKT-10297,24,4.3,0.0,62.0,0.0
TKT-10298,72,7.01,0.0,91.0,0.0
TKT-10299,24,6.87,0.0,42.0,0.0
TKT-10300,4,0.37,0.0,24.0,76.0
TKT-10301,72,1.76,0.0,89.0,0.0
TKT-10302,8,38.05,1.0,15.0,280.0
TKT-10303,72,38.91,0.0,36.0,0.0
TKT-10304,24,5.51,0.0,15.0,0.0
TKT-10305,8,5.46,0.0,62.0,229.0
TKT-10306,24,15.47,0.0,100.0,0.0
TKT-10307,4,3.34,0.0,26.0,94.0
TKT-10308,24,45.61,1.0,6.0,0.0
TKT-10309,8,44.28,1.0,22.0,87.0
TKT-10310,72,71.51,0.0,28.0,0.0
TKT-10311,8,1.65,0.0,107.0,260.0
TKT-10312,8,0.8,0.0,23.0,37.0
TKT-10313,72,1.63,0.0,48.0,0.0
TKT-10314,72,23.34,0.0,59.0,0.0
TKT-10315,72,26.24,0.0,76.0,0.0
TKT-10316,24,15.35,0.0,18.0,0.0
TKT-10317,72,83.37,1.0,88.0,0.0
TKT-10318,8,2.17,0.0,10.0,30.0
TKT-10319,72,55.12,0.0,71.0,0.0
TKT-10320,24,23.83,0.0,102.0,0.0
TKT-10321,72,28.61,0.0,89.0,0.0
TKT-10322,4,2.04,0.0,71.0,176.0
TKT-10323,72,12.51,0.0,100.0,0.0
TKT-10324,72,62.41,0.0,105.0,0.0
TKT-10325,72,48.47,0.0,120.0,0.0
TKT-10326,72,28.71,0.0,55.0,0.0
TKT-10327,72,30.98,0.0,84.0,0.0
TKT-10328,72,71.19,0.0,56.0,0.0
TKT-10329,72,44.69,0.0,22.0,0.0
TKT-10330,72,44.83,0.0,119.0,0.0
TKT-10331,72,0.7,0.0,50.0,0.0
TKT-10332,72,38.27,0.0,26.0,0.0
TKT-10333,24,8.48,0.0,77.0,0.0
TKT-10334,8,7.1,0.0,81.0,35.0
TKT-10335,4,,,,178.0
TKT-10336,4,3.29,0.0,22.0,19.0
TKT-10337,8,,,,41.0
TKT-10338,24,61.65,1.0,20.0,0.0
TKT-10339,72,48.3,0.0,28.0,0.0
TKT-10340,24,1.1,0.0,90.0,0.0
TKT-10341,24,20.99,0.0,106.0,0.0
TKT-10342,24,21.15,0.0,94.0,0.0
TKT-10343,4,2.32,0.0,108.0,168.0
TKT-10344,72,94.12,1.0,47.0,0.0
TKT-10345,8,5.65,0.0,53.0,100.0
TKT-10346,8,3.95,0.0,30.0,201.0
TKT-10347,8,0.39,0.0,103.0,203.0
TKT-10348,24,2.32,0.0,39.0,0.0
TKT-10349,72,50.06,0.0,75.0,0.0
TKT-10350,24,13.79,0.0,77.0,0.0
TKT-10351,8,10.13,1.0,77.0,44.0
TKT-10352,8,2.76,0.0,88.0,189.0
TKT-10353,72,4.12,0.0,65.0,0.0
TKT-10354,8,0.34,0.0,118.0,192.0
TKT-10355,8,6.57,0.0,40.0,162.0
TKT-10356,24,12.56,0.0,94.0,0.0
TKT-10357,72,49.43,0.0,73.0,0.0
TKT-10358,8,2.34,0.0,66.0,234.0
TKT-10359,24,53.82,1.0,44.0,0.0
TKT-10360,72,22.53,0.0,99.0,0.0
TKT-10361,72,46.37,0.0,93.0,0.0
TKT-10362,72,4.79,0.0,18.0,0.0
TKT-10363,72,38.35,0.0,51.0,0.0
TKT-10364,72,17.06,0.0,81.0,0.0
TKT-10365,24,30.11,1.0,99.0,0.0
TKT-10366,8,2.37,0.0,76.0,140.0
TKT-10367,4,2.04,0.0,102.0,257.0
TKT-10368,8,3.49,0.0,29.0,60.0
TKT-10369,24,,,,0.0
TKT-10370,24,10.19,0.0,99.0,0.0
TKT-10371,8,10.78,1.0,61.0,117.0
TKT-10372,24,12.93,0.0,72.0,0.0
TKT-10373,24,0.94,0.0,111.0,0.0
TKT-10374,72,96.76,1.0,103.0,0.0
TKT-10375,8,2.14,0.0,86.0,151.0
TKT-10376,72,,,,0.0
TKT-10377,72,21.74,0.0,91.0,0.0
TKT-10378,24,22.99,0.0,84.0,0.0
TKT-10379,4,1.07,0.0,72.0,144.0
TKT-10380,24,16.41,0.0,45.0,0.0
TKT-10381,4,0.56,0.0,103.0,48.0
TKT-10382,72,49.8,0.0,82.0,0.0
TKT-10383,72,35.41,0.0,112.0,0.0
TKT-10384,24,28.43,1.0,71.0,0.0
TKT-10385,4,2.28,0.0,64.0,283.0
TKT-10386,72,67.24,0.0,46.0,0.0
TKT-10387,24,4.3,0.0,10.0,0.0
TKT-10388,72,74.19,1.0,120.0,0.0
TKT-10389,24,8.14,0.0,88.0,0.0
TKT-10390,24,0.98,0.0,21.0,0.0
TKT-10391,24,1.62,0.0,99.0,0.0
TKT-10392,24,13.81,0.0,21.0,0.0
TKT-10393,8,4.64,0.0,20.0,239.0
TKT-10394,8,,,,211.0
TKT-10395,72,56.29,0.0,45.0,0.0
TKT-10396,8,1.61,0.0,97.0,209.0
TKT-10397,72,75.47,1.0,67.0,0.0
TKT-10398,24,7.86,0.0,16.0,0.0
TKT-10399,8,3.67,0.0,27.0,114.0
TKT-10400,24,18.89,0.0,78.0,0.0
TKT-10401,8,2.28,0.0,89.0,223.0
TKT-10402,72,,,,0.0
TKT-10403,24,15.51,0.0,15.0,0.0
TKT-10404,72,26.7,0.0,58.0,0.0
TKT-10405,8,0.53,0.0,114.0,206.0
TKT-10406,24,2.8,0.0,60.0,0.0
TKT-10407,72,38.29,0.0,100.0,0.0
TKT-10408,4,0.78,0.0,115.0,32.0
TKT-10409,24,15.44,0.0,39.0,0.0
TKT-10410,24,13.6,0.0,108.0,0.0
TKT-10411,8,,,,287.0
TKT-10412,72,14.83,0.0,86.0,0.0
TKT-10413,72,11.3,0.0,117.0,0.0
TKT-10414,4,0.53,0.0,60.0,22.0
TKT-10415,24,50.31,1.0,56.0,0.0
TKT-10416,72,26.87,0.0,38.0,0.0
TKT-10417,8,5.78,0.0,108.0,221.0
TKT-10418,72,65.75,0.0,53.0,0.0
TKT-10419,8,2.47,0.0,69.0,144.0
TKT-10420,4,3.79,0.0,74.0,115.0
TKT-10421,24,3.58,0.0,58.0,0.0
TKT-10422,4,3.01,0.0,26.0,37.0
TKT-10423,72,34.92,0.0,44.0,0.0
TKT-10424,24,2.87,0.0,20.0,0.0
TKT-10425,8,47.28,1.0,31.0,258.0
TKT-10426,8,14.07,1.0,96.0,159.0
TKT-10427,72,79.84,1.0,91.0,0.0
TKT-10428,72,69.33,0.0,25.0,0.0
TKT-10429,8,,,,62.0
TKT-10430,24,48.2,1.0,49.0,0.0
TKT-10431,24,19.2,0.0,113.0,0.0
TKT-10432,24,16.64,0.0,117.0,0.0
TKT-10433,8,5.67,0.0,72.0,89.0
TKT-10434,72,75.48,1.0,13.0,0.0
TKT-10435,72,35.85,0.0,63.0,0.0
TKT-10436,72,,,,0.0
TKT-10437,8,42.64,1.0,61.0,42.0
TKT-10438,72,2.12,0.0,10.0,0.0
TKT-10439,72,47.58,0.0,33.0,0.0
TKT-10440,72,30.43,0.0,64.0,0.0
TKT-10441,72,,,,0.0
TKT-10442,72,70.04,0.0,14.0,0.0
TKT-10443,72,40.77,0.0,66.0,0.0
TKT-10444,8,4.97,0.0,57.0,231.0
TKT-10445,8,,,,116.0
TKT-10446,4,1.07,0.0,74.0,128.0
TKT-10447,24,3.35,0.0,35.0,0.0
TKT-10448,72,64.76,0.0,52.0,0.0
TKT-10449,72,17.19,0.0,19.0,0.0
TKT-10450,72,19.81,0.0,52.0,0.0
TKT-10451,24,8.85,0.0,40.0,0.0
TKT-10452,24,,,,0.0
TKT-10453,8,47.67,1.0,32.0,71.0
TKT-10454,8,6.5,0.0,100.0,213.0
TKT-10455,72,45.21,0.0,41.0,0.0
TKT-10456,8,5.83,0.0,35.0,209.0
TKT-10457,72,50.45,0.0,24.0,0.0
TKT-10458,24,58.54,1.0,27.0,0.0
TKT-10459,24,18.96,0.0,8.0,0.0
TKT-10460,24,9.56,0.0,29.0,0.0
TKT-10461,72,96.71,1.0,49.0,0.0
TKT-10462,72,106.38,1.0,55.0,0.0
TKT-10463,8,6.04,0.0,35.0,101.0
TKT-10464,72,31.44,0.0,119.0,0.0
TKT-10465,24,65.8,1.0,26.0,0.0
TKT-10466,72,,,,0.0
TKT-10467,72,,,,0.0
TKT-10468,4,3.71,0.0,42.0,222.0
TKT-10469,72,12.88,0.0,116.0,0.0
TKT-10470,72,31.14,0.0,98.0,0.0
TKT-10471,72,30.48,0.0,92.0,0.0
TKT-10472,72,46.57,0.0,15.0,0.0
TKT-10473,24,,,,0.0
TKT-10474,24,18.39,0.0,7.0,0.0
TKT-10475,24,6.41,0.0,116.0,0.0
TKT-10476,24,33.07,1.0,60.0,0.0
TKT-10477,72,79.35,1.0,27.0,0.0
TKT-10478,72,10.74,0.0,54.0,0.0
TKT-10479,8,9.37,1.0,77.0,217.0
TKT-10480,72,30.4,0.0,41.0,0.0
TKT-10481,24,17.38,0.0,59.0,0.0
TKT-10482,24,9.39,0.0,53.0,0.0
TKT-10483,24,14.52,0.0,17.0,0.0
TKT-10484,72,,,,0.0
TKT-10485,72,61.37,0.0,105.0,0.0
TKT-10486,4,0.73,0.0,19.0,70.0
TKT-10487,72,0.57,0.0,101.0,0.0
TKT-10488,24,3.38,0.0,54.0,0.0
TKT-10489,8,7.76,0.0,24.0,28.0
TKT-10490,8,7.12,0.0,75.0,53.0
TKT-10491,72,38.93,0.0,30.0,0.0
TKT-10492,72,70.96,0.0,18.0,0.0
TKT-10493,24,5.72,0.0,91.0,0.0
TKT-10494,24,5.99,0.0,43.0,0.0
TKT-10495,24,11.43,0.0,56.0,0.0
TKT-10496,72,30.04,0.0,24.0,0.0
TKT-10497,24,22.57,0.0,47.0,0.0
TKT-10498,72,34.99,0.0,96.0,0.0
TKT-10499,72,4.95,0.0,10.0,0.0
TKT-10500,24,15.98,0.0,22.0,0.0
TKT-10501,72,,,,0.0
TKT-10502,24,12.52,0.0,91.0,0.0
TKT-10503,72,,,,0.0
TKT-10504,72,119.05,1.0,67.0,0.0
TKT-10505,24,7.19,0.0,16.0,0.0
TKT-10506,72,19.43,0.0,42.0,0.0
TKT-10507,4,1.65,0.0,15.0,194.0
TKT-10508,4,3.75,0.0,76.0,199.0
TKT-10509,8,43.74,1.0,70.0,97.0
TKT-10510,8,5.27,0.0,42.0,71.0
TKT-10511,24,15.55,0.0,14.0,0.0
TKT-10512,24,4.69,0.0,6.0,0.0
TKT-10513,72,69.55,0.0,9.0,0.0
TKT-10514,72,40.72,0.0,83.0,0.0
TKT-10515,4,2.73,0.0,66.0,83.0
TKT-10516,24,1.13,0.0,88.0,0.0
TKT-10517,72,65.94,0.0,28.0,0.0
TKT-10518,8,20.2,1.0,44.0,26.0
TKT-10519,24,21.92,0.0,48.0,0.0
TKT-10520,24,9.66,0.0,76.0,0.0
TKT-10521,72,23.66,0.0,27.0,0.0
TKT-10522,4,2.46,0.0,26.0,50.0
TKT-10523,24,23.19,0.0,65.0,0.0
TKT-10524,24,16.0,0.0,85.0,0.0
TKT-10525,24,0.19,0.0,31.0,0.0
TKT-10526,8,7.82,0.0,47.0,31.0
TKT-10527,72,,,,0.0
TKT-10528,72,15.2,0.0,57.0,0.0
TKT-10529,8,3.05,0.0,48.0,184.0
TKT-10530,8,6.27,0.0,76.0,59.0
TKT-10531,8,7.08,0.0,57.0,78.0
TKT-10532,72,33.51,0.0,76.0,0.0
TKT-10533,72,25.88,0.0,14.0,0.0
TKT-10534,72,,,,0.0
TKT-10535,72,87.08,1.0,100.0,0.0
TKT-10536,8,1.74,0.0,32.0,180.0
TKT-10537,24,66.07,1.0,40.0,0.0
TKT-10538,24,0.87,0.0,21.0,0.0
TKT-10539,72,7.9,0.0,70.0,0.0
TKT-10540,8,54.26,1.0,38.0,78.0
TKT-10541,72,92.67,1.0,90.0,0.0
TKT-10542,24,0.28,0.0,21.0,0.0
TKT-10543,8,,,,197.0
TKT-10544,8,0.85,0.0,85.0,23.0
TKT-10545,8,6.18,0.0,52.0,58.0
TKT-10546,72,5.0,0.0,68.0,0.0
TKT-10547,72,48.31,0.0,6.0,0.0
TKT-10548,24,10.67,0.0,74.0,0.0
TKT-10549,72,,,,0.0
TKT-10550,24,7.78,0.0,77.0,0.0
TKT-10551,72,0.96,0.0,29.0,0.0
TKT-10552,24,2.35,0.0,42.0,0.0
TKT-10553,8,5.1,0.0,32.0,180.0
TKT-10554,72,14.77,0.0,9.0,0.0
TKT-10555,8,5.82,0.0,44.0,70.0
TKT-10556,24,71.62,1.0,113.0,0.0
TKT-10557,72,,,,0.0
TKT-10558,24,8.66,0.0,48.0,0.0
TKT-10559,8,6.02,0.0,111.0,183.0
TKT-10560,24,0.2,0.0,104.0,0.0
TKT-10561,72,,,,0.0
TKT-10562,72,46.84,0.0,112.0,0.0
TKT-10563,8,1.25,0.0,33.0,178.0
TKT-10564,8,,,,155.0
TKT-10565,8,6.47,0.0,5.0,30.0
TKT-10566,72,8.02,0.0,70.0,0.0
TKT-10567,4,9.03,1.0,19.0,29.0
TKT-10568,24,,,,0.0
TKT-10569,24,8.27,0.0,41.0,0.0
TKT-10570,8,,,,220.0
TKT-10571,24,22.89,0.0,98.0,0.0
TKT-10572,24,22.27,0.0,112.0,0.0
TKT-10573,8,2.45,0.0,82.0,169.0
